('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.6338)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Graph API\n', 'PERSON', 'Q3625572', 'https://www.wikidata.org/wiki/Q3625572', 0.6428)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('WWW', 'ORG', 'Q15117072', 'https://www.wikidata.org/wiki/Q15117072', 0.5266)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('WWW', 'ORG', 'Q15117072', 'https://www.wikidata.org/wiki/Q15117072', 0.5259)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('WWW', 'ORG', 'Q15117072', 'https://www.wikidata.org/wiki/Q15117072', 0.5259)
('YouTube', 'ORG', 'Q866', 'https://www.wikidata.org/wiki/Q866', 0.8892)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('General Problem \n\nSolver\n\n', 'ORG', 'Q1387212', 'https://www.wikidata.org/wiki/Q1387212', 0.6147)
('McCarthy', 'PERSON', 'Q1047693', 'https://www.wikidata.org/wiki/Q1047693', 0.4005)
('Frame Problem', 'ORG', 'Q1185775', 'https://www.wikidata.org/wiki/Q1185775', 0.7162)
('Quillian', 'NORP', 'Q76878060', 'https://www.wikidata.org/wiki/Q76878060', 0.4725)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('1970', 'DATE', 'Q2474', 'https://www.wikidata.org/wiki/Q2474', 0.3953)
('1960', 'DATE', 'Q3754', 'https://www.wikidata.org/wiki/Q3754', 0.396)
('1950', 'DATE', 'Q748667', 'https://www.wikidata.org/wiki/Q748667', 0.3907)
('1970', 'DATE', 'Q2474', 'https://www.wikidata.org/wiki/Q2474', 0.3953)
('1960', 'DATE', 'Q3754', 'https://www.wikidata.org/wiki/Q3754', 0.396)
('SHRUTI', 'ORG', 'Q7504343', 'https://www.wikidata.org/wiki/Q7504343', 0.2973)
('Winograd', 'GPE', 'Q92826', 'https://www.wikidata.org/wiki/Q92826', 0.3908)
('SHRDLU', 'ORG', 'Q1778029', 'https://www.wikidata.org/wiki/Q1778029', 0.784)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Semantic', 'NORP', 'Q1662954', 'https://www.wikidata.org/wiki/Q1662954', 0.3798)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('OWL', 'ORG', 'Q826165', 'https://www.wikidata.org/wiki/Q826165', 0.6616)
('DIAGRAM', 'ORG', 'Q5165665', 'https://www.wikidata.org/wiki/Q5165665', 0.184)
('2014', 'DATE', 'Q1999', 'https://www.wikidata.org/wiki/Q1999', 0.3959)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3984)
('Semantic Networks', 'ORG', 'Q1045785', 'https://www.wikidata.org/wiki/Q1045785', 0.7003)
('Frames', 'ORG', 'Q17005569', 'https://www.wikidata.org/wiki/Q17005569', 0.382)
('Description Logic', 'PERSON', 'Q387196', 'https://www.wikidata.org/wiki/Q387196', 0.718)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('Oracle Spatial', 'ORG', 'Q3508244', 'https://www.wikidata.org/wiki/Q3508244', 0.5974)
('Facebook Graph Search', 'PERSON', 'Q5428454', 'https://www.wikidata.org/wiki/Q5428454', 0.4558)
('Google Knowledge Graph', 'ORG', 'Q648625', 'https://www.wikidata.org/wiki/Q648625', 0.7893)
('Wikidata', 'ORG', 'Q2013', 'https://www.wikidata.org/wiki/Q2013', 0.894)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('A2', 'FAC', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('A2', 'FAC', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('A2', 'ORG', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('TBL', 'ORG', 'Q4001328', 'https://www.wikidata.org/wiki/Q4001328', 0.6567)
('TED', 'PERSON', 'Q189021', 'https://www.wikidata.org/wiki/Q189021', 0.689)
('The Next Web', 'WORK_OF_ART', 'Q2913725', 'https://www.wikidata.org/wiki/Q2913725', 0.8117)
('2009', 'DATE', 'Q1996', 'https://www.wikidata.org/wiki/Q1996', 0.3917)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Graphs', 'PERSON', 'Q3427422', 'https://www.wikidata.org/wiki/Q3427422', 0.4923)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Bob', 'PERSON', 'Q53340', 'https://www.wikidata.org/wiki/Q53340', 0.3697)
('Bob', 'PERSON', 'Q53340', 'https://www.wikidata.org/wiki/Q53340', 0.3697)
('Bob', 'PERSON', 'Q53340', 'https://www.wikidata.org/wiki/Q53340', 0.3697)
('Bob', 'PERSON', 'Q53340', 'https://www.wikidata.org/wiki/Q53340', 0.3697)
('Leonardo da Vinci', 'PERSON', 'Q762', 'https://www.wikidata.org/wiki/Q762', 0.4334)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Graphs', 'PERSON', 'Q3784250', 'https://www.wikidata.org/wiki/Q3784250', 0.3768)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('1997', 'DATE', 'Q2088', 'https://www.wikidata.org/wiki/Q2088', 0.3915)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('1999', 'DATE', 'Q2091', 'https://www.wikidata.org/wiki/Q2091', 0.3915)
('2004', 'DATE', 'Q8558', 'https://www.wikidata.org/wiki/Q8558', 0.3928)
('2014', 'DATE', 'Q1999', 'https://www.wikidata.org/wiki/Q1999', 0.3959)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDFS', 'ORG', 'Q1751819', 'https://www.wikidata.org/wiki/Q1751819', 0.901)
('Turtle', 'ORG', 'Q114409', 'https://www.wikidata.org/wiki/Q114409', 0.5612)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Format', 'PERSON', 'Q1437451', 'https://www.wikidata.org/wiki/Q1437451', 0.3651)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('IRI', 'ORG', 'Q1674879', 'https://www.wikidata.org/wiki/Q1674879', 0.6521)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Mona Lisa', 'PERSON', 'Q12418', 'https://www.wikidata.org/wiki/Q12418', 0.7362)
('Mona Lisa', 'PERSON', 'Q12418', 'https://www.wikidata.org/wiki/Q12418', 0.7362)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Wikidata', 'ORG', 'Q2013', 'https://www.wikidata.org/wiki/Q2013', 0.894)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('suffix', 'GPE', 'Q62155', 'https://www.wikidata.org/wiki/Q62155', 0.5511)
('FOAF', 'ORG', 'Q1389366', 'https://www.wikidata.org/wiki/Q1389366', 0.7435)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('N-Triples', 'ORG', 'Q44044', 'https://www.wikidata.org/wiki/Q44044', 0.9148)
('N3', 'NORP', 'Q1424987', 'https://www.wikidata.org/wiki/Q1424987', 0.7463)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('Turtle', 'ORG', 'Q114409', 'https://www.wikidata.org/wiki/Q114409', 0.5612)
('←', 'PERSON', 'Q226606', 'https://www.wikidata.org/wiki/Q226606', 0.3697)
('Mona Lisa', 'PERSON', 'Q12418', 'https://www.wikidata.org/wiki/Q12418', 0.7362)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Mona Lisa', 'PERSON', 'Q12418', 'https://www.wikidata.org/wiki/Q12418', 0.7362)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Turtle', 'ORG', 'Q223044', 'https://www.wikidata.org/wiki/Q223044', 0.5004)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('Graph', 'ORG', 'Q2479726', 'https://www.wikidata.org/wiki/Q2479726', 0.3948)
('Graph', 'PERSON', 'Q2479726', 'https://www.wikidata.org/wiki/Q2479726', 0.3948)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('Java', 'GPE', 'Q3757', 'https://www.wikidata.org/wiki/Q3757', 0.7318)
('PHP', 'ORG', 'Q59', 'https://www.wikidata.org/wiki/Q59', 0.7486)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('65', 'DATE', 'Q6670130', 'https://www.wikidata.org/wiki/Q6670130', 0.3676)
('Graph', 'PERSON', 'Q2479726', 'https://www.wikidata.org/wiki/Q2479726', 0.3948)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3743)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Book', 'FAC', 'Q571', 'https://www.wikidata.org/wiki/Q571', 0.3831)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('The Glass Palace', 'ORG', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.6932)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Harper Collins', 'PERSON', 'Q95149', 'https://www.wikidata.org/wiki/Q95149', 0.6565)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.6932)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('French', 'LANGUAGE', 'Q150', 'https://www.wikidata.org/wiki/Q150', 0.5147)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('A12', 'ORG', 'Q4648862', 'https://www.wikidata.org/wiki/Q4648862', 0.6708)
('Auteur', 'ORG', 'Q788514', 'https://www.wikidata.org/wiki/Q788514', 0.4167)
('A11', 'MONEY', 'Q4648827', 'https://www.wikidata.org/wiki/Q4648827', 0.6438)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.8939)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.8939)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.8939)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('31', 'DATE', 'Q19559250', 'https://www.wikidata.org/wiki/Q19559250', 0.3676)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('32', 'DATE', 'Q18820013', 'https://www.wikidata.org/wiki/Q18820013', 0.369)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.8939)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Wikipedia', 'GPE', 'Q52', 'https://www.wikidata.org/wiki/Q52', 0.4744)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('Wikipedia', 'ORG', 'Q52', 'https://www.wikidata.org/wiki/Q52', 0.4744)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
('The Glass Palace', 'WORK_OF_ART', 'Q3225164', 'https://www.wikidata.org/wiki/Q3225164', 0.8939)
('2000', 'DATE', 'Q1985', 'https://www.wikidata.org/wiki/Q1985', 0.396)
('London', 'GPE', 'Q84', 'https://www.wikidata.org/wiki/Q84', 0.643)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('Besse', 'GPE', 'Q326043', 'https://www.wikidata.org/wiki/Q326043', 0.3896)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.3856)
